"Route of Travel","Quarter","Statistic Label","UNIT","VALUE"
"Continental Europe","2017Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1178"
"Continental Europe","2017Q3","Overseas Trips by Irish Residents","Thousand","1472"
"Continental Europe","2017Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"Continental Europe","2017Q4","Overseas Trips to Ireland by Non-Residents","Thousand","857"
"Continental Europe","2017Q4","Overseas Trips by Irish Residents","Thousand","908"
"Continental Europe","2017Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.9"
"Continental Europe","2018Q1","Overseas Trips to Ireland by Non-Residents","Thousand","709"
"Continental Europe","2018Q1","Overseas Trips by Irish Residents","Thousand","799"
"Continental Europe","2018Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Continental Europe","2018Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1215"
"Continental Europe","2018Q2","Overseas Trips by Irish Residents","Thousand","1314"
"Continental Europe","2018Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.6"
"Continental Europe","2018Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1282"
"Continental Europe","2018Q3","Overseas Trips by Irish Residents","Thousand","1563"
"Continental Europe","2018Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"Continental Europe","2018Q4","Overseas Trips to Ireland by Non-Residents","Thousand","915"
"Continental Europe","2018Q4","Overseas Trips by Irish Residents","Thousand","961"
"Continental Europe","2018Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.1"
"Continental Europe","2019Q1","Overseas Trips to Ireland by Non-Residents","Thousand","767"
"Continental Europe","2019Q1","Overseas Trips by Irish Residents","Thousand","900"
"Continental Europe","2019Q1","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.7"
"Continental Europe","2019Q2","Overseas Trips to Ireland by Non-Residents","Thousand","1215"
"Continental Europe","2019Q2","Overseas Trips by Irish Residents","Thousand","1450"
"Continental Europe","2019Q2","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.8"
"Continental Europe","2019Q3","Overseas Trips to Ireland by Non-Residents","Thousand","1320"
"Continental Europe","2019Q3","Overseas Trips by Irish Residents","Thousand","1738"
"Continental Europe","2019Q3","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.2"
"Continental Europe","2019Q4","Overseas Trips to Ireland by Non-Residents","Thousand","978"
"Continental Europe","2019Q4","Overseas Trips by Irish Residents","Thousand","1020"
"Continental Europe","2019Q4","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.3"
"Transatlantic","2012Q1","Overseas Trips to Ireland by Non-Residents","Thousand","82"
